EPC,Ant,Time,Frequency,RSSI,Phase
E2000017221200910820C6AD,1,1970/1/1 0:07,903250,-75,2
E2801160600002073A4A0529,1,1970/1/1 0:07,903250,-45,104
E2801160600002073A4A0519,1,1970/1/1 0:07,903250,-45,84
E2000017221200910820C6AD,1,1970/1/1 0:07,903250,-74,177
E2801160600002073A4A0529,1,1970/1/1 0:07,908250,-45,163
E2801160600002073A4A0519,1,1970/1/1 0:07,908250,-45,160
E2801160600002073A4A0519,1,1970/1/1 0:07,908250,-45,157
E2801160600002073A4A0529,1,1970/1/1 0:07,908250,-45,163
E2801160600002073A4A0529,1,1970/1/1 0:07,908250,-45,165
E2801160600002073A4A0519,1,1970/1/1 0:07,908250,-45,157
E2801160600002073A4A0529,1,1970/1/1 0:07,908250,-45,163
E2801160600002073A4A0519,1,1970/1/1 0:07,908250,-45,160
E2801160600002073A4A0519,1,1970/1/1 0:07,919250,-47,95
E2801160600002073A4A0529,1,1970/1/1 0:07,919250,-48,104
E2801160600002073A4A0529,1,1970/1/1 0:07,919250,-48,104
E2801160600002073A4A0519,1,1970/1/1 0:07,919250,-47,90
E2801160600002073A4A0519,1,1970/1/1 0:07,919250,-47,92
E2801160600002073A4A0529,1,1970/1/1 0:07,919250,-48,106
E2801160600002073A4A0519,1,1970/1/1 0:07,919250,-47,90
E2801160600002073A4A0529,1,1970/1/1 0:07,919250,-48,95
E2801160600002073A4A0519,1,1970/1/1 0:07,924250,-45,163
E2801160600002073A4A0529,1,1970/1/1 0:07,924250,-47,171
E2801160600002073A4A0529,1,1970/1/1 0:07,924250,-47,174
E2801160600002073A4A0519,1,1970/1/1 0:07,924250,-45,163
E2801160600002073A4A0529,1,1970/1/1 0:07,924250,-47,171
E2801160600002073A4A0519,1,1970/1/1 0:07,924250,-45,163
E2801160600002073A4A0529,1,1970/1/1 0:07,914250,-48,28
E2801160600002073A4A0519,1,1970/1/1 0:07,914250,-47,16
E2801160600002073A4A0519,1,1970/1/1 0:07,914250,-47,22
E2801160600002073A4A0529,1,1970/1/1 0:07,914250,-48,25
E2801160600002073A4A0529,1,1970/1/1 0:07,914250,-48,25
E2801160600002073A4A0519,1,1970/1/1 0:07,914250,-47,19
E2801160600002073A4A0519,1,1970/1/1 0:07,902750,-45,104
E2801160600002073A4A0529,1,1970/1/1 0:07,902750,-46,115
E2000017221200910820C6AD,1,1970/1/1 0:07,902750,-74,47
E2801160600002073A4A0529,1,1970/1/1 0:07,902750,-46,115
E2000017221200910820C6AD,1,1970/1/1 0:07,902750,-74,45
E2801160600002073A4A0519,1,1970/1/1 0:07,902750,-45,101
E2801160600002073A4A0529,1,1970/1/1 0:07,902750,-46,115
E2801160600002073A4A0519,1,1970/1/1 0:07,902750,-45,104
E2000017221200910820C6AD,1,1970/1/1 0:07,902750,-73,42
E2000017221200910820C6AD,1,1970/1/1 0:07,902750,-74,33
E2801160600002073A4A0529,1,1970/1/1 0:07,902750,-46,115
E2801160600002073A4A0519,1,1970/1/1 0:07,902750,-45,101
E2801160600002073A4A0529,1,1970/1/1 0:07,907750,-45,5
E2000017221200910820C6AD,1,1970/1/1 0:07,902750,-73,45
E2801160600002073A4A0519,1,1970/1/1 0:07,907750,-45,174
E2801160600002073A4A0519,1,1970/1/1 0:07,907750,-45,174
E2801160600002073A4A0529,1,1970/1/1 0:07,907750,-45,2
E2801160600002073A4A0519,1,1970/1/1 0:07,907750,-45,171
E2801160600002073A4A0529,1,1970/1/1 0:07,907750,-45,2
E2801160600002073A4A0519,1,1970/1/1 0:07,917750,-47,123
E2801160600002073A4A0529,1,1970/1/1 0:07,917750,-47,132
E2801160600002073A4A0529,1,1970/1/1 0:07,917750,-47,135
E2801160600002073A4A0519,1,1970/1/1 0:07,917750,-47,123
E2801160600002073A4A0529,1,1970/1/1 0:07,917750,-47,129
E2801160600002073A4A0519,1,1970/1/1 0:07,917750,-47,126
E2801160600002073A4A0519,1,1970/1/1 0:07,906750,-45,22
E2801160600002073A4A0529,1,1970/1/1 0:07,906750,-45,33
E2801160600002073A4A0529,1,1970/1/1 0:07,906750,-45,33
E2801160600002073A4A0519,1,1970/1/1 0:07,906750,-45,22
E2801160600002073A4A0529,1,1970/1/1 0:07,906750,-45,42
E2801160600002073A4A0519,1,1970/1/1 0:07,906750,-45,28
E2801160600002073A4A0529,1,1970/1/1 0:07,906750,-45,39
E2801160600002073A4A0519,1,1970/1/1 0:07,906750,-45,25
E2801160600002073A4A0519,1,1970/1/1 0:07,912250,-46,64
E2801160600002073A4A0529,1,1970/1/1 0:07,912250,-47,75
E2801160600002073A4A0529,1,1970/1/1 0:07,912250,-48,70
E2801160600002073A4A0519,1,1970/1/1 0:07,912250,-47,67
